Date,Close,High,Low,Open,Volume,RSI,MA10,MA20,MA50,MACD
2020-03-11,49930.9296875,52135.671263992444,48244.95061034973,52135.671263992444,2721848,24.586360556609236,53075.926953125,55335.7873046875,57337.564140625,-488.7237652110334
2020-03-12,46494.12109375,47337.108639441416,46494.12109375,46688.654625827556,2384607,18.54223535735278,52213.483203125,54761.905859375,57097.63625,-726.0757799833773
2020-03-13,46040.20703125,47337.11131461778,43251.85346998565,43251.85346998565,2802561,17.91579703932321,51370.49375,54168.5708984375,56840.84875,-852.1931707896379
2020-03-16,43511.234375,46040.20465899211,43122.1634917521,46040.20465899211,1540937,14.896212089774721,50378.359765625,53448.7873046875,56545.15390625,-1032.4626433622568
2020-03-17,43770.6171875,43770.6171875,41241.646922060354,41241.646922060354,2056377,16.45157286156342,49451.070703125,52738.7306640625,56285.772421875,-1056.9240449336608
2020-03-18,44937.83203125,45845.66921953476,44094.84444622037,44094.84444622037,1657350,23.24923037929463,48614.565625,52087.034765625,56045.84453125,-922.1009959491403
2020-03-19,42797.9375,44548.76232001325,42797.9375,43640.92892466678,1795010,20.03142931639421,47505.71015625,51325.1017578125,55773.4940625,-903.459525831438
2020-03-20,39879.89453125,42992.47313639654,39879.89453125,42797.93578071475,4164261,16.647743811097484,46014.266796875,50417.2666015625,55420.7353125,-1006.2160835775499
2020-03-23,37091.546875,37934.53831177392,37091.546875,37350.93003005432,2825647,14.18244734076643,44626.576171875,49386.2255859375,55001.834296875,-1169.1056829209551
2020-03-24,37610.30859375,37869.69174346493,36702.47520405282,37091.54611147268,2257525,16.655295573932122,43206.462890625,48439.48359375,54594.60546875,-1147.4299431679237
2020-03-25,40204.125,40204.125,38712.67951685171,38907.21687999781,2766364,27.850023156888568,42233.782421875,47654.8546875,54239.25296875,-876.1681351975294
2020-03-26,40982.265625,41954.94859525635,39879.8949002416,40204.123829377866,2237211,30.85075046162511,41682.596875,46948.0400390625,53900.76015625,-576.5658293658121
2020-03-27,41565.87109375,42733.0875260864,40528.346224373694,41047.10865906184,2365348,33.09812056484958,41235.16328125,46302.828515625,53571.345625,-286.00656551222164
2020-03-30,39555.66796875,39815.04728297546,38777.52239176907,38972.05974030237,2467384,29.537204096222453,40839.606640625,45608.983203125,53136.88171875,-181.2258399426164
2020-03-31,40204.125,41565.875090564994,38907.21687999781,39879.89606142317,1442910,32.075886511421714,40482.957421875,44967.0140625,52721.87140625,-28.297751412926573
2020-04-01,42149.484375,42733.09266130011,39879.89701907211,39879.89701907211,1852531,39.15788935257316,40204.12265625,44409.344140625,52345.76828125,229.6212024256156
2020-04-02,42149.484375,42149.484375,42149.484375,42149.484375,0,39.15788935257316,40139.27734375,43822.49375,51977.4465625,415.1542151113795
2020-04-03,42473.7109375,42992.47340541172,41501.02797015714,42149.4820093349,2602045,40.35984650624388,40398.658984375,43206.462890625,51615.609375,565.336336460643
2020-04-06,44094.83984375,44289.377181752825,42797.93189136863,43770.61476423069,3181485,46.09407338356881,41098.98828125,42862.7822265625,51286.194765625,766.9651709266259
2020-04-07,44224.53125,44743.293665734236,43316.69415960105,44094.83969177843,2672691,46.5369352675531,41760.410546875,42483.43671875,50959.373984375,893.3419660614577
2020-04-08,43770.6171875,44224.533850818014,43316.69670702971,43446.388272878365,2679940,45.13917551416888,42117.059765625,42175.42109375,50623.474921875,926.646915737072
